Month,CountyFIPS,CountyName,Property Type,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201904,06037,"Los Angeles, CA",Single Family Home,1,,767050.000000,0.0295,0.0229,13320.5,0.0241,0.1636,40.50,-0.0795,0.0946,6700.0,0.1600,0.0270,198.0,0.0313,-0.3889,2780.0,0.0660,0.2706,5130.0,0.1340,0.6348,1609175.0000,-0.0502,-0.0342,18450.5,0.0524,0.2649,0.3851,0.0373,0.1110
201904,17031,"Cook, IL",Single Family Home,2,,319950.000000,0.0663,0.0323,15045.0,0.1249,0.0409,42.50,-0.0556,-0.0556,6526.0,0.1988,0.0994,84.0,0.0500,-0.3226,3308.0,0.2902,0.0882,1355.0,0.0678,-0.2025,474864.0000,0.0159,0.0152,16400.0,0.1200,0.0153,0.0901,-0.0048,-0.0275
201904,48201,"Harris, TX",Single Family Home,3,,329500.000000,0.0140,0.0014,13480.0,0.0356,0.1449,48.00,-0.0588,0.1163,6054.0,0.0310,0.0131,482.0,0.1157,0.1262,4070.0,0.0813,0.1256,7062.5,0.1882,0.1474,511055.0000,0.0251,0.0215,20542.5,0.0834,0.1458,0.5239,0.0673,0.0012
201904,04013,"Maricopa, AZ",Single Family Home,4,*,385047.250000,0.0158,0.0131,16867.5,0.0092,0.0697,45.00,-0.0426,0.0976,6920.0,0.0428,0.0076,638.0,0.4115,-0.1944,7192.0,-0.0411,0.1907,5842.5,0.2287,2920.2500,635416.0000,0.0114,-0.0069,22710.0,0.0578,0.4401,0.3464,0.0619,0.3462
201904,06073,"San Diego, CA",Single Family Home,5,,780046.250000,0.0331,0.0143,4827.0,0.0491,0.1326,37.50,-0.0625,0.1029,3118.0,0.1757,0.1088,128.0,0.0323,-0.1111,1462.0,0.0878,0.0782,118.0,0.2041,12.1111,1336881.0000,0.0092,-0.0373,4945.0,0.0524,0.1578,0.0244,0.0031,0.0223
201904,06059,"Orange, CA",Single Family Home,6,*,989522.500000,0.0307,-0.0095,6340.0,0.1017,0.2289,41.00,-0.0682,0.1389,2620.0,0.1391,0.0463,102.0,-0.0893,-0.1500,1498.0,0.2003,0.3003,1164.5,0.1786,37.8167,1707464.0000,0.0102,-0.0235,7504.5,0.1129,0.4462,0.1837,0.0120,0.1779
201904,36047,"Kings, NY",Single Family Home,7,,984494.000000,0.0373,0.0363,1045.0,0.0874,0.4141,73.50,0.0208,0.0068,256.0,0.0667,0.2075,12.0,-0.2500,0.5000,148.0,0.0571,0.5417,298.5,0.0511,0.0329,1346099.0000,0.0713,0.0634,1343.5,0.0791,0.3069,0.2856,-0.0099,-0.1054
201904,12086,"Miami-Dade, FL",Single Family Home,8,*,525050.000000,0.0116,-0.0706,7536.0,-0.0164,0.2338,80.50,0.0063,0.0190,1916.0,0.0390,0.0813,124.0,-0.0882,-0.2051,1518.0,-0.0065,0.2321,2136.0,0.0299,-0.2870,1296014.0000,-0.0024,-0.0880,9672.0,-0.0066,0.0624,0.2834,0.0128,-0.2071
201904,48113,"Dallas, TX",Single Family Home,9,,385000.000000,0.0693,-0.0374,5348.0,0.0754,0.3159,40.50,-0.0795,0.1571,2708.0,0.1417,0.0545,156.0,0.5000,0.3929,1818.0,0.1363,0.4383,2110.0,0.2354,0.1070,688743.0000,0.0258,-0.0697,7458.0,0.1163,0.2492,0.3945,0.0511,-0.0745
201904,53033,"King, WA",Single Family Home,10,*,800030.000000,0.0000,0.0165,3521.0,0.2213,1.0687,30.50,0.0517,0.2708,2436.0,0.0428,0.0253,54.0,-0.1000,-0.1000,904.0,0.2486,1.1524,1202.5,0.2183,-0.3779,1169118.0000,-0.0119,-0.0894,4723.5,0.2205,0.2994,0.3415,-0.0008,-0.7942
201904,36081,"Queens, NY",Single Family Home,11,,749050.000000,0.0274,0.0777,2126.0,0.0825,0.3043,62.50,-0.0672,-0.0458,604.0,-0.0563,0.1984,22.0,0.3750,-0.2143,352.0,0.0353,0.6604,133.0,0.0391,-0.1074,887920.0000,0.0209,0.0467,2259.0,0.0798,0.2698,0.0626,-0.0026,-0.0289
201904,36061,"New York, NY",Single Family Home,12,,10562550.000000,-0.0059,0.3498,44.5,-0.0326,-0.0918,174.00,0.0087,-0.1031,10.0,1.5000,0.2500,0.0,,,6.0,0.5000,,3.0,2.0000,,12660243.0000,0.0030,0.1836,47.5,0.0106,-0.0306,0.0674,0.0457,0.0674
201904,32003,"Clark, NV",Single Family Home,13,,349700.000000,0.0135,0.0595,8072.0,0.0361,0.0807,43.00,-0.0652,0.0750,3574.0,0.0235,0.1339,164.0,-0.1458,-0.4225,3224.0,-0.0012,1.4648,1121.5,0.2190,0.5259,546903.0000,0.0043,0.0872,9193.5,0.0554,0.1206,0.1389,0.0209,0.0405
201904,12011,"Broward, FL",Single Family Home,14,*,449300.000000,0.0213,-0.0621,6671.5,-0.0085,0.2614,66.00,0.0313,0.1000,2100.0,0.0077,0.0542,152.0,0.1515,0.4074,1694.0,-0.0353,0.1293,1786.0,0.0857,-0.2737,852858.0000,0.0057,-0.0500,8457.5,0.0100,0.0916,0.2677,0.0232,-0.1972
201904,06065,"Riverside, CA",Single Family Home,15,*,447800.000000,0.0066,-0.0027,9570.0,0.0092,0.1323,50.50,-0.0288,0.0978,3532.0,0.0474,0.0279,194.0,-0.0102,-0.1019,2240.0,-0.0141,0.1336,2306.0,0.1518,3.7061,656835.0000,0.0001,-0.0363,11876.0,0.0340,0.3281,0.2410,0.0298,0.1830
201904,48439,"Tarrant, TX",Single Family Home,16,,300047.500000,0.0345,-0.0323,4878.0,0.0470,0.1857,37.50,-0.0385,0.1364,2944.0,0.1068,0.0152,222.0,0.0278,0.1327,1590.0,0.1357,0.3384,2590.5,0.1627,0.0518,411192.0000,0.0341,-0.0501,7468.5,0.0844,0.1355,0.5311,0.0528,-0.0676
201904,26163,"Wayne, MI",Single Family Home,17,,109950.000000,0.0990,0.2943,3977.0,0.0161,0.1732,49.00,-0.1833,0.0208,2058.0,0.1358,0.0674,80.0,-0.0476,-0.2308,1004.0,0.1306,0.1896,203.0,0.1278,5.3438,216267.0000,0.0676,0.1362,4180.0,0.0210,0.2215,0.0510,0.0051,0.0416
201904,48029,"Bexar, TX",Single Family Home,18,,269999.500000,0.0383,0.0017,6740.5,0.0645,0.1694,45.50,-0.0521,0.0111,2958.0,0.0489,0.1054,456.0,0.3735,0.2258,2040.0,0.0000,0.3673,2938.0,0.2534,0.1617,347755.0000,0.0322,-0.0077,9678.5,0.1155,0.1671,0.4359,0.0657,-0.0029
201904,06085,"Santa Clara, CA",Single Family Home,19,*,1429050.000000,0.0244,-0.0464,1232.5,0.1339,0.6907,25.50,-0.0192,0.3421,1284.0,0.1845,0.0664,28.0,1.3333,0.7500,318.0,0.2231,2.1800,1057.5,0.2072,0.0398,2100547.0000,0.0092,-0.0614,2290.0,0.1666,0.3116,0.8580,0.0521,-0.5370
201904,06071,"San Bernardino, CA",Single Family Home,20,*,358550.000000,0.0245,0.0544,7468.0,0.0345,0.0082,46.75,-0.1343,0.0872,3156.0,0.1689,-0.0889,144.0,-0.2340,-0.2174,1550.0,0.1364,0.0144,2601.0,0.1125,1.7094,473953.0000,0.0125,0.0140,10069.0,0.0536,0.2034,0.3483,0.0244,0.2187
