SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
1,9,California,State,0.967741935483871,0.9630418839579711,0.9666666666666667,0.9666666666666667,0.9695856297203511,0.9681093394077449,0.9673558215451578,0.9620512820512821,0.9562841530054644,0.9519038076152304,0.9473254389546754,0.9422850412249706,0.9407407407407408,0.937037037037037,0.9415544714517569,0.9454595281397145,0.9501900380076015,0.9523809523809523,0.9516129032258065,0.9518072289156626,0.9499165275459098,0.9492063492063492,0.9486538150624352,0.9479166666666666,0.9483040526826187,0.9515859766277128,0.9583991574512901,0.966542750929368,0.975609756097561,0.98,0.9824561403508771,0.9846153846153847,0.9841758211183811,0.987012987012987,0.9891304347826086,0.9897551658274006,0.9948186528497409,1,1,1,1.000188714851859,1.0002837827271183,1.0001052742393937,1,1,0.9914244859049435,0.984182776801406,0.9794628751974723,0.9761904761904762,0.9809523809523809,0.9857142857142858,0.9886614161980449,0.9894459102902374,0.9885931558935361,0.9863945578231292,0.9818181818181818,0.9777777777777777,0.9754385964912281,0.9729305610043154,0.9702660406885759,0.9688888888888889,0.9754666666666667,0.9834368530020704,0.9885804623989857,0.9923076923076923,0.992462311557789,0.9904572549525519,0.9886934673366834,0.9866666666666667,0.9832880652976868,0.980528511821975,0.979381443298969,0.9777777777777777,0.982122905027933,0.9891086908201823,0.9939393939393939,0.9974358974358974,0.9964221824686941,0.993322203672788,0.9894179894179894,0.9860664523043944,0.984182776801406,0.9824747742963357,0.9799789251844047,0.979896959288817,0.9851150202976996,0.9922346850733391,1,1,1,1,0.9983909635060686,0.9922077922077922,0.9910198845413727,0.99,0.9868770250683532,0.9863013698630136,0.9932952570151478,1,1,1,1,0.9971014492753624,0.9899749373433584,0.9844112888214321,0.9797297297297297,0.9749303621169917,0.9699248120300752,0.9685230024213075,0.9752438109527382,0.9813084112149533,0.9859784283513097
2,54,Texas,State,0.9647481021394065,0.965819095477387,0.975609756097561,0.9777733886730533,0.9809909090909091,0.9757755539671193,0.9660731538992409,0.9608333333333333,0.9635633055344959,0.9563787878787878,0.9484530612244898,0.944152,0.9392100313479624,0.9438907849829351,0.9512195121951219,0.9578075313807531,0.9597235294117648,0.958511999500671,0.9542377622377622,0.954024024024024,0.9546684210526316,0.9479411764705883,0.9468472284641165,0.9532204005356616,0.9516313131313131,0.962108843537415,0.9645369649805448,0.9690885389533678,0.9750603509324101,0.9770752136752137,0.9757356076759062,0.9750016789791807,0.9755909090909091,0.9702244008714597,0.9683374979116577,0.9699840182648402,0.9700890302066772,0.9687074094104922,0.9759908256880734,0.9786403803626713,0.98,0.9785291557876414,0.9762845849802372,0.9721862495452892,0.9748427672955975,0.9697650130548303,0.9639846153846154,0.9659960328705015,0.9633747547416612,0.964172461752434,0.9682989629839605,0.9757590197413206,0.9780520421805856,0.9806982408660352,0.9773299748110831,0.9770019723865878,0.9727402135231317,0.9659191222570533,0.9639092728485658,0.9705265017667845,0.9715025906735751,0.9746332355294746,0.9782608695652174,0.9815967213114755,0.9876543209876543,0.9996296296296296,0.9815924867292772,0.9804902451225613,0.9757959183673469,0.9704731743666171,0.9700588235294118,0.9639589743589744,0.9677769732078204,0.9713195876288659,0.9772727272727273,0.9826086956521739,0.9839177820405055,0.9839444444444444,0.9830976198689203,0.9800890496096781,0.9745674418604651,0.9705050846027259,0.9662357016881571,0.9673465535704655,0.9668512341561041,0.9698795180722891,0.9733700642791552,0.9772727272727273,0.980092,0.9789473684210527,0.9787130486712452,0.9741106382978724,0.9690528290090653,0.9682338530066815,0.9655172413793104,0.9643696069107803,0.966031746031746,0.9688650657439446,0.9741396825396825,0.9811320754716981,0.981904761904762,0.9802105263157894,0.9777298961138899,0.9723021561574419,0.9702370528495554,0.9660761535979349,0.9653916211293261,0.9630397013861347,0.9640512820512821,0.9714284081623323,0.975609756097561,0.9814814814814815
3,43,New York,State,0.9038461538461539,0.9036027201948216,0.9073359073359073,0.9186991869918699,0.9244992295839753,0.9339853300733496,0.9272848565710473,0.9254498714652957,0.9173101769032002,0.9190371991247265,0.9167939991665509,0.9121245828698554,0.9076951006003096,0.9059731351814804,0.9076923076923077,0.9156626506024096,0.9230769230769231,0.9296482412060302,0.9315476190476191,0.9312320916905444,0.9234782608695652,0.9170731707317074,0.9085226088768493,0.9052701801200801,0.9007847759089505,0.8980355472404116,0.9011494252873563,0.911472066575563,0.9197080291970803,0.9324009324009324,0.9367493995196157,0.9322419281491587,0.9332443257676902,0.9246939859760972,0.9191685912240185,0.9190231362467867,0.9147869674185464,0.9174594386948073,0.9135802469135802,0.9268537074148296,0.9375441360747652,0.9457714654615881,0.9499136442141624,0.9515103565417007,0.9476139775867432,0.9386733416770964,0.9375,0.9328782707622298,0.9302466611194946,0.9282735613010842,0.9316770186335404,0.9310344827586207,0.9431578947368421,0.9508196721311475,0.9548347984237647,0.9538461538461539,0.9458307147488653,0.9412780656303973,0.9380863039399625,0.9333333333333333,0.9330985915492958,0.9303312221582473,0.9285723760952282,0.9391320680557705,0.9457364341085271,0.9539473684210527,0.9585996110030564,0.9573542210617929,0.9530201342281879,0.9473883660708646,0.9391588403429971,0.9385474860335196,0.9373354397051079,0.9396516808424463,0.9408239128678022,0.944729247432082,0.9537514450867052,0.960880195599022,0.9651257096512571,0.9672131147540983,0.9606741573033708,0.9576837416481069,0.955955955955956,0.9529411764705882,0.9472981987991995,0.95,0.9507640067911715,0.9571428571428572,0.9649749821300929,0.9707241910631741,0.9727272727272728,0.9717868338557993,0.9687750200160128,0.965243069537548,0.96,0.9584480074375226,0.9546061415220294,0.9533333333333334,0.9555061179087876,0.9621621621621622,0.9697933227344993,0.976,0.9783236991541187,0.9742033383915023,0.9682804674457429,0.9639284631706577,0.9587328053355565,0.9534883720930233,0.9503438155136268,0.9473808867546376,0.9484978540772532,0.9552238805970149
4,14,Florida,State,0.875,0.867244829886591,0.8727304462925319,0.8776744186046511,0.8811748998664887,0.8883826879271071,0.8980612883051907,0.9006004002668445,0.8938547486033519,0.8894109749958047,0.889218228973694,0.8866666666666667,0.8952380952380953,0.8887652947719689,0.8846426043878273,0.8838383838383839,0.8888888888888888,0.8934954897686795,0.8974358974358975,0.9032751167780028,0.9081632653061225,0.9051348999129678,0.9089253187613844,0.9105272742392361,0.9090909090909091,0.9094680798177444,0.9132947976878613,0.9142394822006472,0.920303605313093,0.9245283018867925,0.9284692417739628,0.9308141150319533,0.9300911854103343,0.9323692508426661,0.9322033898305084,0.9306987399770905,0.933955970647098,0.9314857582755967,0.9342560553633218,0.9370988446726572,0.939538929969552,0.9422012440410044,0.9454545454545454,0.9466083090778121,0.9462616822429907,0.9447236180904522,0.9427380885042518,0.9380692167577414,0.9343715239154616,0.931787175989086,0.933955970647098,0.9338235294117647,0.9361702127659575,0.9420591913297207,0.9411764705882353,0.9413369713506139,0.94,0.939183987682833,0.9384615384615385,0.9385474860335196,0.9361069836552749,0.9354838709677419,0.9409409409409409,0.9426702577914583,0.9459459459459459,0.949051633254334,0.9497716894977168,0.9483530961791832,0.9477756286266924,0.9472981987991995,0.9469823274424808,0.9470875944864384,0.9458333333333333,0.9453781512605042,0.948905109489051,0.9502202643171807,0.9530201342281879,0.9547738693467337,0.9561635775228008,0.9562911767598017,0.9546430886209876,0.9533333333333334,0.9523809523809523,0.950920245398773,0.94928,0.948936170212766,0.9505882352941176,0.9520634920634921,0.9545454545454546,0.9558823529411765,0.9559804357492219,0.956072139821533,0.9558139534883721,0.9540636042402827,0.9545875810936052,0.9545454545454546,0.9523809523809523,0.9528346831824679,0.9553846153846154,0.9565217391304348,0.9575757575757575,0.9597188429305218,0.9587328053355565,0.9576910462446704,0.9566011480257436,0.9543119762097865,0.9541397353031702,0.9515340151178302,0.9494949494949495,0.9488272921108742,0.9515570934256056,0.9523582658408766
5,21,Illinois,State,0.883495145631068,0.8832966040215174,0.8899838187702265,0.9,0.9076923076923077,0.91324200913242,0.9113389465511184,0.9083333333333333,0.9045419553502695,0.897196261682243,0.8892857142857142,0.88201864060013635,0.8786610878661087,0.88410110643622275,0.885137916838205,0.8883553421368547,0.9,0.9045419553502695,0.9051282051282051,0.9038300703059284,0.8929946112394149,0.8888888888888888,0.8836744030956055,0.8833922261484098,0.8817635270541082,0.8790252393385553,0.8900549450549451,0.898876404494382,0.9148800994890373,0.9230769230769231,0.9230769230769231,0.9237875288683602,0.9229058561897702,0.9171513102282334,0.9171762090050027,0.9174311926605505,0.9118541033434651,0.9148084619782733,0.9203681472589036,0.9312320916905444,0.9421965317919075,0.9496402877697842,0.9514018691588785,0.9495077802476977,0.9483832242574449,0.9443593670239918,0.9363636363636364,0.935064935064935,0.9328358208955224,0.9324009324009324,0.9318637274549099,0.9435897435897436,0.9506172839506173,0.9561728395061728,0.9532888465204957,0.9502515371716043,0.9433962264150944,0.9379432624113475,0.9318637274549099,0.9259876646107684,0.9219490911485775,0.9213990221887928,0.927694406548431,0.9423893268647665,0.9518518518518518,0.9555555555555556,0.9526813880126183,0.949748743718593,0.9428571428571428,0.9384615384615385,0.9345794392523364,0.9292640486350279,0.925531914893617,0.9259259259259259,0.9378907878282617,0.9503167722574192,0.9575873070870689,0.9604268563806136,0.9595959595959596,0.9560439560439561,0.9506337558372249,0.9458844929513415,0.943126607602172,0.9378454725912353,0.9340455689603206,0.9361702127659575,0.9475566150178785,0.9569078830824612,0.9636363636363636,0.9656437625083389,0.963656593847602,0.959866220735786,0.9545454545454546,0.9511111111111111,0.9466221851542952,0.943336048726894,0.9385230993088396,0.9389671361502347,0.951725491257511,0.9636650868878357,0.9664429530201343,0.9683490162532079,0.9653270291568163,0.96,0.9551886792452831,0.9502715061446128,0.9449760765550239,0.9378349410503751,0.933955970647098,0.9380863039399625,0.9484848484848485,0.961038961038961
6,47,Pennsylvania,State,0.9197994987468672,0.9169445286450439,0.9266123054114158,0.9357362345654185,0.9411764705882353,0.94375,0.9383673469387755,0.9333333333333333,0.9278350515463918,0.9221631759924976,0.9226713532513181,0.9121245828698554,0.9090909090909091,0.9028016009148084,0.9078771695594126,0.9127535426507363,0.9272727272727272,0.9298998569384835,0.9298245614035088,0.9237875288683602,0.9181969949916527,0.913158623265991,0.9083310042854481,0.9054545454545454,0.9015873015873016,0.9,0.9060057197330791,0.9166899571455189,0.9301233201824006,0.9360730593607306,0.9389993145990404,0.9351892127011744,0.9321739130434783,0.928246013667426,0.9259259259259259,0.9247661651077674,0.9180342918619621,0.9186602870813397,0.9253731343283582,0.9339917637202497,0.9454949944382648,0.9523809523809523,0.9519047619047619,0.9481582537517054,0.9420289855072463,0.9365142857142857,0.9302325581395349,0.9293320425943853,0.9250550660792951,0.9179589794897449,0.9290138161029061,0.937109375,0.9464454722405757,0.9545819935691319,0.9537939805002119,0.9488510007412898,0.9412782608695652,0.9358631564513917,0.9311518501691151,0.9263157894736842,0.9215167548500882,0.9179539123828817,0.9290540540540541,0.9399902423158237,0.9506916409105095,0.9563825530212084,0.9568773234200744,0.9523809523809523,0.9447943682845499,0.9433962264150944,0.9378600409109696,0.9359487590072058,0.9292351679771265,0.9278350515463918,0.9318323952470294,0.9479360285006195,0.9573542210617929,0.9636650868878357,0.9624641833810889,0.9583333333333334,0.9549795361527967,0.9519038076152304,0.9466019417475728,0.9430784776018861,0.941909625703019,0.9358288770053476,0.9456264775413712,0.9586773040099672,0.9644677661169415,0.9699909063352531,0.9682539682539683,0.9649122807017544,0.9615088529638183,0.9567654123298639,0.9538461538461539,0.9495249228186914,0.9466729778198522,0.9460635058721183,0.9524193548387097,0.9617234083477592,0.9717062017719348,0.9767387764596418,0.9741415854175498,0.9710144927536232,0.9658502932045533,0.96,0.9567307692307693,0.9518658734451054,0.9477009477009477,0.9473407056345445,0.9521531100478469,0.9649749821300929
7,44,Ohio,State,0.8888888888888888,0.8949874686716792,0.9064655596443167,0.9182197013543234,0.9217949422680234,0.924594662466289,0.9181871689228959,0.9111666666666667,0.9042137634741321,0.8947368421052632,0.8898776418242491,0.8946259692528349,0.8926510196229319,0.8928784018667111,0.8934953538241601,0.9001,0.9090909090909091,0.9127029893504492,0.9148525764673464,0.9090909090909091,0.9051094890510949,0.9009009009009009,0.8976661272710529,0.8960573476702509,0.8881481481481481,0.888777466501661,0.8996655518394648,0.9121245828698554,0.9247311827956989,0.9316770186335404,0.9302325581395349,0.9271168274383709,0.9225109802254741,0.9197860604151447,0.9171762090050027,0.9155433315198775,0.9158849280800501,0.911414508007077,0.92,0.932178391080446,0.9433962264150944,0.9478718732273235,0.9486902388252119,0.9435310936383131,0.9406383561643835,0.9334629962146137,0.9327788728660189,0.9237875288683602,0.9230769230769231,0.9213661636219221,0.9351351351351351,0.9418837675350702,0.9508261388995334,0.9564193168433451,0.9554919283891112,0.9486005486906539,0.9454653951349329,0.939183987682833,0.9374039942346685,0.9318491951270198,0.9293019119608715,0.9297658862876255,0.9399879975995199,0.9483322432962721,0.9571634417455743,0.9601198227729248,0.9603841536614646,0.9554140127388535,0.95,0.9459459459459459,0.9398907103825137,0.9345794392523364,0.9389694847423712,0.9345794392523364,0.9446640316205533,0.9553571428571429,0.9619084263178146,0.9680908599242833,0.9674728940783986,0.963302752293578,0.9586666307139349,0.9545454545454546,0.9522272433828276,0.9479251423921887,0.9452968645763843,0.942079553384508,0.9556411646086316,0.9644886363636364,0.9692997585374267,0.9746837457762734,0.9741969457609269,0.9706516250918469,0.966183574879227,0.9614636045153756,0.9565217391304348,0.951417004048583,0.9506337558372249,0.9523809523809523,0.9633197480548351,0.9729110167259152,0.9772727272727273,0.9829391003535319,0.9789473684210527,0.9736578859619873,0.9693558474046279,0.9631019387116948,0.9590909090909091,0.9535714285714286,0.9486931268151017,0.9511568123393316,0.9613487498744336,0.9703754090130019
8,30,Michigan,State,0.8857142857142857,0.8781683383904009,0.8927141713370697,0.8863378040463742,0.8916793533420329,0.9031306215901173,0.8967923500574956,0.9042058823529412,0.8938547486033519,0.8925925925925926,0.8823529411764706,0.8857142857142857,0.89,0.890231657462526,0.8914728682170543,0.8945260347129506,0.906816760475297,0.9111111111111111,0.9152830991911451,0.9128888888888889,0.9099181073703366,0.9090909090909091,0.904,0.9073842302878599,0.9018036072144289,0.9020474910076408,0.9090909090909091,0.9171762090050027,0.9317073170731708,0.9443402126328956,0.9437751004016064,0.9413388543823327,0.939183987682833,0.9351724137931035,0.9347826086956522,0.9319468671373208,0.9333333333333333,0.933955970647098,0.9375,0.9457180944754764,0.9523355576739753,0.959731543624161,0.9642857142857143,0.9591326105087573,0.9555555555555556,0.9479271991911021,0.9386733416770964,0.9354838709677419,0.9293983652686587,0.9293019119608715,0.9297297297297298,0.9413654618473896,0.9543355566957414,0.9607686148919136,0.9614010007147963,0.9561200923787528,0.9530842391304348,0.9422850412249706,0.9360877985797289,0.9328358208955224,0.9318266024453501,0.9235505387378142,0.9347826086956522,0.9466666666666667,0.958904109589041,0.9634727368978295,0.9636363636363636,0.9585365853658536,0.9519038076152304,0.9466666666666667,0.9403134378126042,0.9378111771625155,0.9345660843017898,0.9343715239154616,0.9427121102248006,0.9558173784977909,0.9649122807017544,0.9696218045012697,0.9714285714285714,0.9673115410273516,0.9621656881930855,0.9555390885513153,0.9515570934256056,0.9492047203694202,0.9426702577914583,0.9451445515196442,0.9532888465204957,0.9666666666666667,0.9748589020010262,0.9803921568627451,0.9798994974874372,0.972972972972973,0.9687625100080064,0.9613333333333334,0.9555555555555556,0.9531772575250836,0.9512195121951219,0.9507042253521126,0.9607686148919136,0.9737661182747888,0.9829311359623308,0.9849884526558892,0.9832214765100671,0.9768637532133676,0.9688195991091314,0.9609477841158403,0.9554920375663536,0.9491629215232441,0.9459459459459459,0.948,0.9571428571428572,0.9666666666666667
9,16,Georgia,State,0.8771929824561403,0.8817635270541082,0.8823529411764706,0.8936833995620793,0.8992023205221175,0.9080779944289693,0.9057142857142857,0.9009009009009009,0.8918918918918919,0.8930665746809244,0.8775008775008775,0.8754377188594297,0.8712759977515458,0.8604651162790697,0.8793208004851425,0.8776199883370539,0.8947368421052632,0.8974358974358975,0.8938143966628075,0.8933333333333333,0.8866351676857513,0.886685552407932,0.896551724137931,0.8947368421052632,0.8998998998998999,0.8914728682170543,0.9090909090909091,0.92,0.9282934963868816,0.9310344827586207,0.9337493999039846,0.9340447656700437,0.9339622641509434,0.9380863039399625,0.9375,0.9382857142857143,0.9378947368421052,0.9438317517312131,0.9475982532751092,0.952253934382502,0.956,0.9573542210617929,0.95625,0.9555555555555556,0.9518072289156626,0.9503959983326385,0.9463965119261349,0.9444444444444444,0.9417040358744395,0.9433962264150944,0.9496074955684983,0.95607181270534225,0.9585798816568047,0.9608938547486033,0.9579393839573169,0.9510567296996663,0.9491525423728814,0.9462994306816433,0.9430259851554896,0.9428571428571428,0.9411764705882353,0.944419281545303,0.955148365780724,0.9592822636300897,0.9655172413793104,0.9653916211293261,0.9629629629629629,0.9592326560207269,0.9549795361527967,0.9526196713503214,0.9500733701957667,0.9493821516683054,0.9485871975558074,0.9538230769230769,0.9612289212887635,0.967741935483871,0.9727492238703,0.9733759318423855,0.972,0.9690528290090653,0.9657142857142857,0.9640654009702342,0.9628378378378378,0.9603841536614646,0.9611575063119052,0.962278675904542,0.9711552398898391,0.9746514575411914,0.9776536312849162,0.9772675596345446,0.975609756097561,0.9721448467966574,0.9704389369961183,0.967741935483871,0.9678291430116248,0.9673115410273516,0.9672131147540983,0.9719626168224299,0.976349302607641,0.9822222222222222,0.9838709677419355,0.9824561403508771,0.9811320754716981,0.9766277128547579,0.972972972972973,0.9693558474046279,0.9687304565353346,0.9673202614379085,0.963747949047065,0.9685863874345549,0.9746835443037974,0.9772727272727273
10,36,North Carolina,State,0.9045226130653267,0.9097270818754374,0.920569878680317,0.9247311827956989,0.9323116219667944,0.9295539808253439,0.9253731343283582,0.9212803306649403,0.9118805865443464,0.9119170984455959,0.9054527263631816,0.9004092769440655,0.896551724137931,0.8962067528136723,0.9025641025641026,0.9209302325581395,0.92,0.9263157894736842,0.9188648581072634,0.9162790697674419,0.9114486846980363,0.9090909090909091,0.9045226130653267,0.9047365620010644,0.904074060915509,0.9037037037037037,0.9181969949916527,0.923313670171839,0.9365687526607067,0.9393939393939394,0.9355961705831157,0.9333333333333333,0.9302325581395349,0.929368029739777,0.9285714285714286,0.9245722173453939,0.927707210674878,0.9302325581395349,0.9399720800372267,0.946969696969697,0.9523809523809523,0.9553731726083611,0.9526648155535957,0.9526315789473684,0.9486981180716679,0.9435310936383131,0.9444444444444444,0.9385421629347308,0.9388297872340425,0.9383286258623549,0.9468822170900693,0.9528346831824679,0.9591326105087573,0.96,0.9568345323741008,0.9554140127388535,0.9495192307692307,0.9464575446187128,0.9468917249897078,0.9437523593808984,0.9430331023864511,0.9413854351687388,0.9531772575250836,0.958414554905783,0.9649749821300929,0.9636363636363636,0.9619047619047619,0.96,0.9566666666666667,0.9529764882441221,0.9527759546693149,0.9502702702702702,0.9501900380076015,0.9548948766893599,0.9612903225806452,0.9682714870848941,0.9725824379399778,0.972972972972973,0.972,0.968756054725342,0.9666666666666667,0.9649749821300929,0.9629492404594294,0.9629814907453726,0.9619047619047619,0.963855421686747,0.9714285714285714,0.9769206964509667,0.978319783197832,0.9793103448275862,0.9788435395751771,0.9767814251401121,0.9726443768996961,0.9702520679633355,0.9689099526066351,0.967741935483871,0.9653333333333334,0.9696,0.9786468869408856,0.9803921568627451,0.9830976198689203,0.9822263797942001,0.98,0.9761904761904762,0.9755697655353337,0.9709090909090909,0.9702127659574468,0.9697263553441013,0.9663503019844694,0.9706163001447525,0.9757785467128027,0.9809523809523809
